% Model:              PCF_sweep.mph
% Version:            COMSOL 6.3.0.420
% Date:               Oct 15 2025, 02:46
% Table:              Table 1 - 
% freq                                            neff                                              mode_overlap                                      overlap
2.061073148750000E14                              1.422645279786281E0-6.001562147337766E-4i         0.000000000000000E0                               3.404985064184468E-4+4.234898913297210E-4i
2.061073148750000E14                              1.422656734638498E0-5.567630104686847E-4i         0.000000000000000E0                               2.207192359373544E-4-4.297610506295906E-4i
2.061073148750000E14                              1.425990716049988E0-7.473710197232436E-5i         1.000000000000000E0                               7.351100904170453E-1+6.915987169433499E-2i
2.083557583100000E14                              1.420588085477393E0-1.041593291748396E-3i         0.000000000000000E0                               1.039881705115901E-2-3.556550410711566E-2i
2.083557583100000E14                              1.421619639298466E0-9.177739501130996E-4i         0.000000000000000E0                               -2.060573694138689E-2-3.713259700655821E-1i
2.083557583100000E14                              1.423031872797353E0-5.822593308657400E-4i         0.000000000000000E0                               -2.964149303128474E-4-3.559958148952617E-4i
2.083557583100000E14                              1.423046292580748E0-5.372899356128251E-4i         0.000000000000000E0                               4.364331103126919E-4-3.341814248232026E-4i
2.083557583100000E14                              1.426350305907456E0-6.955416368211473E-5i         1.000000000000000E0                               7.418143571049224E-1+6.733295231565212E-2i
2.106042017450000E14                              1.420998223809233E0-9.895292014876652E-4i         0.000000000000000E0                               1.719152028392104E-2-2.848078178737416E-2i
2.106042017450000E14                              1.422054397028482E0-8.689764844028696E-4i         0.000000000000000E0                               -4.932662416664448E-2-3.687533442529788E-1i
2.106042017450000E14                              1.423416354092056E0-5.667300381112743E-4i         0.000000000000000E0                               -2.107586734249950E-5-1.480943854656098E-4i
2.106042017450000E14                              1.423435583898737E0-5.221142826845650E-4i         0.000000000000000E0                               1.498082267426676E-4+4.874255360375622E-4i
2.106042017450000E14                              1.426704081350135E0-6.514114230179177E-5i         1.000000000000000E0                               7.485298496635830E-1+6.636134500703794E-2i
2.128526451800000E14                              1.421435802514116E0-9.690989126015510E-4i         0.000000000000000E0                               1.758270506122346E-2-2.900100898060252E-2i
2.128526451800000E14                              1.422497214441475E0-8.505219650314142E-4i         0.000000000000000E0                               -4.059661480848509E-2-3.663038000723998E-1i
2.128526451800000E14                              1.423784992117132E0-5.450238324480400E-4i         0.000000000000000E0                               4.046939821733603E-5-5.277062820569726E-4i
2.128526451800000E14                              1.423808145830820E0-5.039352499468291E-4i         0.000000000000000E0                               1.513968940369633E-5+1.046201810873322E-3i
2.128526451800000E14                              1.427053304550916E0-6.032646590777945E-5i         1.000000000000000E0                               7.549149355074181E-1+6.618571955544500E-2i
2.151010886150000E14                              1.421845355593322E0-9.223075028014676E-4i         0.000000000000000E0                               2.314286120697479E-2-1.975679515791247E-2i
2.151010886150000E14                              1.422921630261230E0-8.096613698631777E-4i         0.000000000000000E0                               -3.892386117688111E-2-3.657125727430509E-1i
2.151010886150000E14                              1.424154633123882E0-5.325275629925347E-4i         0.000000000000000E0                               7.468517162161788E-5+1.761413803361882E-5i
2.151010886150000E14                              1.424180580950003E0-4.921553715645119E-4i         0.000000000000000E0                               3.461023525841345E-4-1.951002212707999E-5i
2.151010886150000E14                              1.427396660848766E0-5.612742161087523E-5i         1.000000000000000E0                               7.614325241190065E-1+6.654976629074384E-2i
2.173495320500000E14                              1.422259196967180E0-9.050800522992736E-4i         0.000000000000000E0                               2.042451008890219E-2-2.317935211614187E-2i
2.173495320500000E14                              1.423341719017428E0-7.914874563421914E-4i         0.000000000000000E0                               -5.982779825920002E-2-3.592638156972615E-1i
