% Model:              20240422_3B_ideal_sweep.mph
% Version:            COMSOL 6.3.0.420
% Date:               Jan 14 2026, 18:43
% Table:              Table 2 - 
% freq                                            neff                                              mode_overlap                                      A_eff                                             overlap
1.926166542650000E14                              1.415833912091947E0-1.071495419783001E-3i         0.000000000000000E0                               9.947564070031305E-11                             -3.588367682649112E-2-3.747226198902368E-1i
1.926166542650000E14                              1.417468701297078E0-6.811231691001856E-4i         0.000000000000000E0                               1.365438655371015E-10                             2.343148833580975E-4+6.364204015965537E-4i
1.926166542650000E14                              1.417489559623725E0-6.271556782810129E-4i         0.000000000000000E0                               1.316634455191066E-10                             4.256283586470247E-4-2.811184326774510E-4i
1.926166542650000E14                              1.421409771570761E0-7.919444951642662E-5i         1.000000000000000E0                               2.258270200873714E-11                             7.173287219495623E-1+6.181143411593335E-2i
1.948650977000000E14                              1.415117460707942E0-1.178138363094384E-3i         0.000000000000000E0                               1.667899752283332E-10                             1.603068072963049E-2-3.125962596963972E-2i
1.948650977000000E14                              1.416381107926873E0-1.031824402870550E-3i         0.000000000000000E0                               9.863100205106568E-11                             -4.253785614481938E-2-3.721338568892919E-1i
1.948650977000000E14                              1.417930320634529E0-6.563059011422792E-4i         0.000000000000000E0                               1.350635691425404E-10                             -5.797556118110557E-5-4.492785310376456E-4i
1.948650977000000E14                              1.417956992762501E0-6.071774799604909E-4i         0.000000000000000E0                               1.307848620529097E-10                             -5.677627517507945E-5+6.867921956498509E-4i
1.948650977000000E14                              1.421842583596133E0-7.299074977957582E-5i         1.000000000000000E0                               2.166604173856359E-11                             7.248920338573558E-1+6.180170543345798E-2i
1.971135411350000E14                              1.415626289756509E0-1.114318362970037E-3i         0.000000000000000E0                               1.741215443820878E-10                             2.321206684948525E-2-2.166336030305427E-2i
1.971135411350000E14                              1.416910950081225E0-9.768318149417342E-4i         0.000000000000000E0                               9.642335290555470E-11                             -4.837475923933302E-2-3.709626718236577E-1i
1.971135411350000E14                              1.418385815442493E0-6.391713203749039E-4i         0.000000000000000E0                               1.342147730177499E-10                             -1.419378235913559E-5-9.360090973838443E-6i
1.971135411350000E14                              1.418418669724179E0-5.902101868333503E-4i         0.000000000000000E0                               1.301290056792649E-10                             7.016667215534387E-5+2.464359137391650E-4i
1.971135411350000E14                              1.422267794518996E0-6.734866725778569E-5i         1.000000000000000E0                               2.077763278656493E-11                             7.324356555359671E-1+6.170685692202928E-2i
1.993619845700000E14                              1.416141588190825E0-1.093646658480347E-3i         0.000000000000000E0                               1.618551026213069E-10                             1.967299625862158E-2-2.463382857933193E-2i
1.993619845700000E14                              1.417435645621374E0-9.539492512644825E-4i         0.000000000000000E0                               9.698754353061093E-11                             -5.433782133540238E-2-3.664553512247972E-1i
1.993619845700000E14                              1.418827870196824E0-6.120272658222853E-4i         0.000000000000000E0                               1.324746131672446E-10                             -1.211112710116143E-4-4.729506849557950E-4i
1.993619845700000E14                              1.418861922329607E0-5.697774347084179E-4i         0.000000000000000E0                               1.290474986310828E-10                             -3.292967451140694E-4+5.781994477108308E-4i
1.993619845700000E14                              1.422687074165794E0-6.186050064994238E-5i         1.000000000000000E0                               1.994565514806816E-11                             7.399366924745714E-1+6.080449719844001E-2i
2.016104280050000E14                              1.416638006417386E0-1.037784805944472E-3i         0.000000000000000E0                               1.675996519807587E-10                             2.425488973272674E-2-1.471036633224312E-2i
2.016104280050000E14                              1.417945156262223E0-9.066526893527800E-4i         0.000000000000000E0                               9.540253952408132E-11                             -6.656011229568895E-2-3.631665723640112E-1i
2.016104280050000E14                              1.419265974282662E0-5.972132481874236E-4i         0.000000000000000E0                               1.315271966578006E-10                             1.831903004823917E-5-4.276525205325164E-5i
2.016104280050000E14                              1.419304527091002E0-5.558259039644488E-4i         0.000000000000000E0                               1.283620339869323E-10                             -3.616488801556841E-4-1.163456661386443E-4i
2.016104280050000E14                              1.423098931463030E0-5.686116153496984E-5i         1.000000000000000E0                               1.913258147328017E-11                             7.475705657912115E-1+5.889928260002545E-2i
2.038588714400000E14                              1.417124789467170E0-1.001941126425034E-3i         0.000000000000000E0                               1.677172111777976E-10                             2.411525695259025E-2-1.318146429889361E-2i
2.038588714400000E14                              1.418441680972386E0-8.732145574654960E-4i         0.000000000000000E0                               9.490729208350470E-11                             -6.839946912733139E-2-3.600760425526807E-1i
2.038588714400000E14                              1.419694886707210E0-5.773161148953773E-4i         0.000000000000000E0                               1.305882641753703E-10                             6.584460441733557E-5+1.349720188870023E-4i
2.038588714400000E14                              1.419734908678574E0-5.395482756079561E-4i         0.000000000000000E0                               1.277864981070841E-10                             -3.027760258674415E-4-3.974497564448488E-5i
2.038588714400000E14                              1.423504880343832E0-5.227368320821974E-5i         1.000000000000000E0                               1.836749324706923E-11                             7.549422943179522E-1+5.784654581564684E-2i
2.061073148750000E14                              1.417606872710814E0-9.824096965151462E-4i         0.000000000000000E0                               1.588136300621232E-10                             2.205129450650191E-2-1.559564238244659E-2i
2.061073148750000E14                              1.418929663828410E0-8.518340472346041E-4i         0.000000000000000E0                               9.546549657995784E-11                             -5.974960217401957E-2-3.575627357338388E-1i
2.061073148750000E14                              1.420114485573729E0-5.540538312870598E-4i         0.000000000000000E0                               1.290816189640094E-10                             1.400619088026798E-4-2.683520772151851E-4i
2.061073148750000E14                              1.420154842843745E0-5.218764679084574E-4i         0.000000000000000E0                               1.268264671528714E-10                             2.353504284691492E-4+3.898872328344326E-4i
2.061073148750000E14                              1.423904999580622E0-4.795610847552596E-5i         1.000000000000000E0                               1.764379073068582E-11                             7.620053907798201E-1+5.884232497480715E-2i
2.083557583100000E14                              1.418072628856973E0-9.541626021906779E-4i         0.000000000000000E0                               1.531181692108711E-10                             2.249175374587967E-2-1.414989191067063E-2i
2.083557583100000E14                              1.419405623881127E0-8.247030951008649E-4i         0.000000000000000E0                               9.544603592019540E-11                             -8.538064503860038E-2-3.487297477881884E-1i
2.083557583100000E14                              1.420527730833122E0-5.341337841648032E-4i         0.000000000000000E0                               1.277904514368430E-10                             5.177832570188311E-4-5.069550306880189E-4i
2.083557583100000E14                              1.420570093097573E0-5.070085056898333E-4i         0.000000000000000E0                               1.261121195685957E-10                             -3.581815276405832E-5+4.652640422360465E-4i
2.083557583100000E14                              1.424298941679969E0-4.398653820744118E-5i         1.000000000000000E0                               1.694941645953235E-11                             7.691885482616219E-1+5.688220411356855E-2i
2.106042017450000E14                              1.418536439628572E0-9.014331047226126E-4i         0.000000000000000E0                               1.623598810321451E-10                             2.365974611212281E-2+1.389590578450904E-4i
2.106042017450000E14                              1.419874804751807E0-7.800291365260127E-4i         0.000000000000000E0                               9.400396402108368E-11                             -9.672311554810767E-2-3.439566701383186E-1i
2.106042017450000E14                              1.420934817158533E0-5.240791096930326E-4i         0.000000000000000E0                               1.274878562476106E-10                             2.658234746045631E-5-1.400245972622076E-4i
2.106042017450000E14                              1.420982567990015E0-4.992710025992132E-4i         0.000000000000000E0                               1.262463482346537E-10                             -2.823074748298894E-4+7.201291299276326E-4i
2.106042017450000E14                              1.424686666945095E0-4.034196119750449E-5i         1.000000000000000E0                               1.627707740918288E-11                             7.764083800438253E-1+5.525111979013880E-2i
2.128526451800000E14                              1.418988336042214E0-8.904767227720050E-4i         0.000000000000000E0                               1.494187567808791E-10                             2.310410078402559E-2-7.640817576795957E-3i
2.128526451800000E14                              1.420329536561477E0-7.663420029276161E-4i         0.000000000000000E0                               9.498930228344560E-11                             -1.056879484428241E-1-3.361671634109252E-1i
